Title,Speaker,Day,Time,Place,Description
Amazon cloud basics,Scott Klein,Friday,3 p.m. - 3:50 p.m.,Gulfstream/Hialeah,"Cloud servers are an amazingly flexible way to use computing resources. Servers and test benches used to take weeks to order and configure, but thanks to the cloud, you can build up arbitrarily complex farms of computers to do your bidding in a few minutes, from serving a dynamic news app to crunching through a data set to trying out a new technology on the cheap. This course will help you understand the thicket of acronyms and programs that make up Amazon's AWS system and will get you started building servers."
Disasters: Preparing for and digging in after the storm,"Ryan McNeill, Ben Poston",Friday,3 p.m. - 3:50 p.m.,Regency Center,
Finding the bad guys: Tricks for joining lists of people,"Adam Playford, Michael LaForgia",Friday,4 p.m. - 4:50 p.m.,Churchill Downs,"Identifying people who appear in two databases can give an investigation sweep and take it to the next level: think about matching camp operators and sex offenders, or felons and almost anything. But such joins are difficult and time-consuming, particularly if you have names but not dates of birth. Learn techniques to sidestep those issues by combining your favorite database software with simple scripting and some old-fashioned reporting. By the end of the session, you'll know how to match messy addresses and how to highlight promising hits based on name alone -- exactly what you need to find some bad guys and beef-up your next project."
Computer Science 101: How to speak the language of the people who speak computer,"Brian Hamman, Anna Boiko-Weyrauch",Friday,4 p.m. - 4:50 p.m.,Regency South,
Lightning Talks,Derek Willis,Friday,4 p.m. - 4:50 p.m.,Regency Center,
Stats in Excel,Krista Kjellman Schmidt,Friday,4 p.m. - 4:50 p.m.,Keeneland,
Philip Meyer Award Reception (co-sponsored by Northwestern University Knight Lab),TBA,Friday,5:15 p.m. - 6:30 p.m.,Regency North,Join fellow CAR attendees for the presentation of the Philip Meyer Journalism Awards at a reception Friday night with light hor d' oeuvres and a cash bar beginning at 5:15 p.m. in Regency North. &nbsp;Thanks to 
CAR Focus Group,Mark Horvit,Saturday,8:15 a.m. - 8:45 a.m.,Churchill Downs,Please join IRE staff over a cup of coffee to discuss what attracted you to the conference and what you'd like to see in future years.
CAR Conference Registration (Saturday),TBA,Saturday,8:30 a.m. - 5 p.m.,2nd Floor,Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
CAR Conference Sales (Saturday),TBA,Saturday,8:30 a.m. - 5 p.m.,2nd Floor,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. The winners of the IRE T-shirt contest will be displayed and on sale. The sales table is also the place to get your ticket to ""A Night on the Town"" an event that is sure to be a fun time! All proceeds from your purchase help support IRE and its mission."
